class,TFRC,CD26,MIG6,GAPDH,INPP4B,FOXM1,NF2,ACVRL1,IGFBP2,X4EBP1
1,-1.1249,-0.25121,0.14979,-3.4002,-0.48416,-0.89389,-0.34382,-0.20749,-0.043086,-0.19649
1,-0.51693,-0.43822,0.041791,-0.98782,1.1267,-0.17497,-0.24083,-0.21336,1.4038,-0.1908
1,-0.47348,-0.22056,-0.034605,-3.1168,0.27983,-0.43787,-0.10599,-0.065239,-0.15651,-1.1042
1,-0.83043,-0.30009,-0.012873,-2.5064,0.918,-0.68443,-0.048743,-0.22128,0.17124,-0.25533
1,-0.2731,-0.17092,1.2508,-1.7129,-0.12406,0.14616,-0.42172,-0.23141,0.92016,-0.32424
1,0.4139,-0.28012,-0.083301,-2.1104,2.6767,-0.52176,0.0028227,-0.0050934,0.023613,-0.55091
1,-0.34045,-0.15341,0.074159,-1.3755,-0.41895,-0.49351,-0.39389,-0.18488,2.1323,-0.40257
1,-1.0854,-0.19785,0.17782,-4.6103,-0.43478,-0.4959,-0.38274,0.029199,-0.98462,-0.21819
1,-0.47562,0.3895,0.13125,-2.5561,0.47909,-0.43928,-0.053888,0.027883,-0.76197,-0.4809
1,-1.808,0.51337,-0.0054322,-4.2975,-0.042793,-0.8208,-0.26367,-0.21732,-0.61083,-0.59134
1,-0.7347,0.66181,0.5027,-2.4762,-0.020165,-0.39465,0.62106,-0.1606,0.16849,-0.72523
1,-0.15713,-0.060554,-0.052539,-1.9069,0.67673,-1.0098,0.0040737,-0.2549,-1.087,-0.4279
1,-0.41267,-0.1601,0.037379,-1.0302,1.4321,0.2966,0.37135,-0.29172,-1.4671,0.038587
1,-0.19963,-0.038266,-0.13932,-3.2467,1.2404,-0.076427,-0.089744,0.046993,-0.52987,-0.45861
1,-0.70081,0.54606,0.15676,-1.923,0.63885,-0.5772,0.13069,0.12254,-0.47879,-0.70024
1,0.053992,-0.20515,0.29334,-1.5357,0.049672,-0.33839,0.12244,-0.050434,0.42197,-0.17918
1,0.80506,0.063087,0.10733,-0.93914,-0.52072,-0.13635,-0.85517,-0.071894,-0.60289,0.92095
1,-0.98932,-0.01755,-0.07713,-2.7361,0.53276,-0.64061,0.20936,-0.41329,0.56582,-0.73915
1,-1.5964,0.31415,0.072765,-2.735,-0.39599,-1.0772,0.0072974,-0.056274,-0.2533,-0.91201
1,-1.0888,-0.06546,0.28653,-4.3925,-0.13481,-0.048021,-0.66961,0.095546,1.5897,1.3703
1,-0.41969,0.26291,0.15121,-3.4643,-0.1786,-0.71643,-0.38052,-0.095261,-0.88635,-0.51675
1,-0.2906,-0.056949,-0.0068579,-4.4498,-0.14743,-0.76703,-0.022844,-0.17616,-0.72168,-0.98771
1,-0.78827,0.014672,0.03336,-1.5794,0.61493,-0.033986,-0.29576,-0.1257,0.51073,0.062039
1,-0.29741,-0.1292,-0.0091149,-3.423,0.43683,-0.71297,0.23424,-0.054873,-0.75553,-0.67233
1,-0.45394,0.064024,0.1852,-1.9628,0.15138,-0.52786,-0.17582,-0.060591,-0.9995,-0.29851
1,-0.20719,-0.033968,0.19666,-2.533,1.035,-0.57722,-0.090239,-0.21774,1.5599,-0.56839
1,-0.38851,-0.14947,0.074469,-2.3922,1.9749,-0.21777,-0.35224,-0.039814,0.59397,0.08325
1,-1.0166,0.41882,-0.1514,-3.139,-0.26437,-0.87173,-0.21616,-0.11027,1.0583,-0.86385
1,0.31546,-0.14121,0.094883,-0.81984,2.5473,-0.50685,0.033801,-0.21196,-1.0773,0.60342
