class,TFRC,CD26,MIG6,PI3KP110ALPHA,GAPDH,INPP4B,GSK3ALPHABETA,BRD4,NDRG1_pT346,FOXM1,NF2,HER3,ACVRL1,DUSP4,RAB25,JNK_pT183Y185,IGFBP2,PKCDELTA_pS664,X4EBP1
1,-0.53036,0.0078018,0.44504,-0.22504,-3.3638,2.5847,-0.11768,-0.44697,-0.088863,-0.58424,0.10849,0.39605,-0.25203,-0.60568,-0.94923,-0.095889,-0.45798,-0.14262,-0.065064
1,-0.63294,-0.2607,0.015935,-0.45559,-1.9308,0.39425,-0.12929,-0.39035,0.97213,-0.62819,0.52819,0.13921,-0.077384,-0.36731,-0.12736,0.21113,-0.85191,-0.17698,-0.27127
1,-1.1557,0.31718,0.02717,-0.43673,-1.4045,0.24444,-0.82014,-1.0985,0.47494,-0.2773,-0.7518,0.042017,-0.043592,-0.093548,-0.2991,0.086513,0.45553,0.035745,0.81946
1,-1.5262,0.052502,0.090403,-0.6149,-3.8087,-0.52162,-0.92887,-1.2508,2.1605,-0.37418,-0.96372,-0.02563,0.12224,1.3997,0.32591,0.32364,0.22073,0.076216,0.071928
1,-1.1172,-0.27408,-0.13747,-0.5045,-3.061,-0.20812,-0.27112,-0.50577,0.26529,-0.46891,0.087636,0.078978,-0.012408,-0.020234,0.029509,-0.017849,0.76806,0.08889,0.19849
1,-0.4109,-0.024915,0.21503,-0.42893,-2.5449,1.233,-0.40737,-0.72789,1.1956,-0.32662,-0.29967,0.012595,-0.018159,0.25703,-0.34246,0.18497,-0.54653,-0.12958,0.12544
1,-0.25975,-0.081539,-0.020801,-0.73337,-4.2549,0.47209,-0.44069,-1.3106,1.7328,-0.58898,-1.0723,-0.36551,-0.14331,0.77955,0.044028,0.56761,-1.4851,0.24946,0.62318
1,-0.65803,-0.12036,0.039822,-0.5744,-3.17,0.42096,-0.23558,-1.0904,0.51101,-0.3713,-0.31941,0.87441,-0.10558,-0.39582,-0.23057,0.62094,-0.53585,-0.25982,-1.2162
1,-0.070748,0.084268,0.46144,-0.37278,-3.4955,0.28832,-0.17165,-0.57872,0.03939,-0.22085,0.17345,0.9625,-0.22118,-0.095851,0.33855,0.27077,-1.0481,-0.15631,-0.31469
1,-1.2671,-0.16385,0.13498,-0.2758,-2.1881,1.0705,-0.26606,-1.0316,1.6183,-0.049985,-0.078935,0.37629,-0.17834,1.104,0.43002,-0.031539,0.928,0.23563,-0.26316
1,-0.71606,0.056531,-0.022689,-0.36731,-3.793,0.047525,-0.12214,-0.68959,1.3691,-0.68657,-0.2369,0.36189,-0.15651,0.1495,0.68394,-0.033322,0.20769,-0.19032,-0.4722
1,-0.72305,1.229,0.92602,-0.37535,-1.3292,1.6038,-0.36021,-0.073404,1.0924,-0.25752,-0.24617,0.46361,-0.15605,-0.2686,0.48864,-0.20988,-1.1635,-0.087541,-0.053819
1,-1.4291,-0.026511,0.047797,-0.42168,-4.8562,0.15379,-0.34634,-0.74158,1.1315,-0.81797,-0.308,1.3656,-0.078416,-0.5154,0.16943,0.276,-0.3112,-0.16579,-0.84008
1,1.0879,-0.12588,0.33047,-0.63486,-2.3553,1.3884,-0.23706,-0.63679,0.67406,-0.64447,0.056438,0.52556,-0.15455,0.66819,-0.12535,0.21727,-0.19728,-0.40757,0.24344
1,-0.59333,-0.15258,0.07437,-0.26941,-3.4712,0.43285,-0.25647,-0.42527,0.36208,-0.58137,-0.15319,0.21012,-0.18449,1.6357,1.0404,0.2898,1.9492,-0.095398,-0.61865
1,-0.3114,0.059774,0.15909,-0.13551,-2.5136,-0.30586,-0.20353,-0.47038,1.1409,-0.19279,0.50946,-0.23436,0.011918,0.088729,-0.41599,0.1414,-1.076,0.10985,-0.35787
